tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt1094597,The Quiet Ones,2010,"Drama,Horror,Thriller",5.8,LGF,8500000.0,2014
tt1100089,Foxcatcher,2014,"Biography,Drama,Sport",7.0,SPC,12100000.0,2014
tt1103153,Killers,2010,"Action,Comedy,Romance",5.4,LGF,47100000.0,2010
tt1105740,Eva,2010,Drama,5.4,Wein.,16700.0,2015
tt1107319,Dirty Girl,2010,"Comedy,Drama",6.5,Wein.,55100.0,2011
tt1109624,Paddington,2014,"Adventure,Comedy,Family",7.2,W/Dim.,76300000.0,2015
tt1111235,Trance,2010,Horror,4.6,FoxS,2300000.0,2013
tt1120985,Blue Valentine,2010,"Drama,Romance",7.4,Wein.,9700000.0,2010
tt1121096,Seventh Son,2014,"Action,Adventure,Fantasy",5.5,Uni.,17200000.0,2015
tt1124035,The Ides of March,2011,"Drama,Thriller",7.1,Sony,41000000.0,2011
tt1124037,Free State of Jones,2016,"Action,Biography,Drama",6.9,STX,20800000.0,2016
tt1126590,Big Eyes,2014,"Biography,Crime,Drama",7.0,Wein.,14500000.0,2014
tt1126591,Burlesque,2010,"Drama,Music,Musical",6.4,SGem,39400000.0,2010
tt1126618,Morning Glory,2010,"Comedy,Drama,Romance",6.5,Par.,31000000.0,2010
tt1130884,Shutter Island,2010,"Mystery,Thriller",8.1,Par.,128000000.0,2010
tt1131724,2:22,2017,Thriller,5.8,Magn.,400.0,2017
tt1132449,Lay the Favorite,2012,"Comedy,Drama,Romance",4.8,RTWC,21000.0,2012
tt1133985,Green Lantern,2011,"Action,Adventure,Sci-Fi",5.5,WB,116600000.0,2011
tt1135084,Takers,2010,"Action,Crime,Thriller",6.2,SGem,57700000.0,2010
tt1135989,A Tale of Love and Darkness,2015,"Biography,Drama,History",6.0,FCW,572000.0,2016
tt1139328,The Ghost Writer,2010,"Drama,Mystery,Thriller",7.2,Sum.,15500000.0,2010
tt1142977,Frankenweenie,2012,"Animation,Comedy,Family",7.0,BV,35300000.0,2012
tt1143896,Holy Rollers,2010,"Biography,Crime,Drama",5.9,FInd.,303000.0,2010
tt1152398,Beastly,2011,"Drama,Fantasy,Romance",5.6,CBS,27900000.0,2011
tt1152822,Freakonomics,2010,Documentary,6.4,Magn.,101000.0,2010
tt1152830,The Joneses,2011,"Comedy,Drama",6.9,RAtt.,1500000.0,2010
tt1155076,The Karate Kid,2010,"Action,Drama,Family",6.2,Sony,176600000.0,2010
tt1159922,Cheerful Weather for the Wedding,2012,"Comedy,Drama,Romance",5.6,IFC,2700.0,2012
tt1161864,The Rite,2011,"Drama,Horror,Mystery",6.0,WB (NL),33000000.0,2011
tt1164999,Biutiful,2010,"Drama,Romance",7.5,RAtt.,5100000.0,2011
tt1167638,22 Bullets,2010,"Action,Crime,Drama",6.7,Cdgm.,,2013
tt1170358,The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",7.8,WB (NL),258399999.0,2013
tt1171222,Baggage Claim,2013,Comedy,5.1,FoxS,21600000.0,2013
tt1172049,Demolition,2015,"Comedy,Drama",7.0,FoxS,2000000.0,2016
tt1172991,The Company Men,2010,Drama,6.8,Wein.,4400000.0,2011
tt1174042,The Myth of the American Sleepover,2010,"Comedy,Drama,Romance",6.3,IFC,41000.0,2011
