tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year,Genre1,Genre2,Genre3
tt1691917,Planes,2013,"Adventure,Animation,Comedy",5.7,BV,90300000.0,2013,Adventure,Animation,Comedy
tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy,Family",6.2,BV,67000000.0,2014,Comedy,Family,
tt1700841,Sausage Party,2016,"Adventure,Animation,Comedy",6.2,Sony,97700000.0,2016,Adventure,Animation,Comedy
tt1710396,Joyful Noise,2012,"Comedy,Drama,Music",5.8,WB,30900000.0,2012,Comedy,Drama,Music
tt1716777,People Like Us,2012,"Comedy,Drama",7.1,BV,12400000.0,2012,Comedy,Drama,
tt1727824,Bohemian Rhapsody,2018,"Biography,Drama,Music",8.0,Fox,216400000.0,2018,Biography,Drama,Music
tt1735898,Snow White and the Huntsman,2012,"Action,Adventure,Drama",6.1,Uni.,155300000.0,2012,Action,Adventure,Drama
tt1742044,Jersey Boys,2014,"Biography,Drama,Music",6.8,WB,47000000.0,2014,Biography,Drama,Music
tt1753383,A Dog's Purpose,2017,"Adventure,Comedy,Drama",7.1,Uni.,64500000.0,2017,Adventure,Comedy,Drama
tt1758810,The Snowman,2017,"Crime,Drama,Mystery",5.1,Uni.,6700000.0,2017,Crime,Drama,Mystery
tt1758830,This Is 40,2012,"Comedy,Romance",6.2,Uni.,67500000.0,2012,Comedy,Romance,
tt1772341,Wreck-It Ralph,2012,"Adventure,Animation,Comedy",7.7,BV,189400000.0,2012,Adventure,Animation,Comedy
tt1785670,Widows,2011,"Comedy,Drama",6.3,Fox,42400000.0,2018,Comedy,Drama,
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.6,BV,172600000.0,2017,Action,Adventure,Fantasy
tt1790864,The Maze Runner,2014,"Action,Mystery,Sci-Fi",6.8,Fox,102400000.0,2014,Action,Mystery,Sci-Fi
tt1790885,Zero Dark Thirty,2012,"Drama,Thriller",7.4,Sony,95700000.0,2012,Drama,Thriller,
tt1790886,The Campaign,2012,Comedy,6.1,WB,86900000.0,2012,Comedy,,
tt1791528,Inherent Vice,2014,"Comedy,Crime,Drama",6.7,WB,8100000.0,2014,Comedy,Crime,Drama
tt1800241,American Hustle,2013,"Crime,Drama",7.2,Sony,150100000.0,2013,Crime,Drama,
tt1805319,Mama,2010,Drama,4.5,Uni.,71600000.0,2013,Drama,,
tt1805411,Son of God,2010,Documentary,6.8,Fox,59700000.0,2014,Documentary,,
tt1815862,After Earth,2013,"Action,Adventure,Drama",4.8,Sony,60500000.0,2013,Action,Adventure,Drama
tt1823672,Chappie,2015,"Action,Crime,Drama",6.8,Sony,31600000.0,2015,Action,Crime,Drama
tt1825683,Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,BV,700100000.0,2018,Action,Adventure,Sci-Fi
tt1837703,The Fifth Estate,2013,"Biography,Drama,Thriller",6.2,BV,3300000.0,2013,Biography,Drama,Thriller
tt1837709,Winter's Tale,2014,"Drama,Fantasy,Mystery",6.2,WB,12600000.0,2014,Drama,Fantasy,Mystery
tt1843866,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.8,BV,259800000.0,2014,Action,Adventure,Sci-Fi
tt1850457,Sisters,2015,Comedy,6.0,Uni.,87000000.0,2015,Comedy,,
tt1854564,Percy Jackson: Sea of Monsters,2013,"Adventure,Family,Fantasy",5.8,Fox,68600000.0,2013,Adventure,Family,Fantasy
tt1856101,Blade Runner 2049,2017,"Drama,Mystery,Sci-Fi",8.0,WB,92100000.0,2017,Drama,Mystery,Sci-Fi
tt1860353,Turbo,2013,"Adventure,Animation,Comedy",6.4,Fox,83000000.0,2013,Adventure,Animation,Comedy
tt1870529,Won't Back Down,2012,Drama,6.4,Fox,5300000.0,2012,Drama,,
tt1872181,The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",6.6,Sony,202900000.0,2014,Action,Adventure,Sci-Fi
tt1872194,The Judge,2014,"Crime,Drama",7.4,WB,47100000.0,2014,Crime,Drama,
tt1877832,X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",8.0,Fox,233900000.0,2014,Action,Adventure,Sci-Fi
tt1905041,Fast & Furious 6,2013,"Action,Crime,Thriller",7.1,Uni.,238700000.0,2013,Action,Crime,Thriller
tt1910608,The Good Lie,2012,Thriller,6.4,WB,2700000.0,2014,Thriller,,
tt1911658,Penguins of Madagascar,2014,"Adventure,Animation,Comedy",6.7,Fox,83400000.0,2014,Adventure,Animation,Comedy
tt1915581,Magic Mike,2012,"Comedy,Drama",6.1,WB,113700000.0,2012,Comedy,Drama,
tt1924435,Let's Be Cops,2014,"Comedy,Crime",6.4,Fox,82400000.0,2014,Comedy,Crime,
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Fantasy",6.7,Fox,87200000.0,2016,Adventure,Drama,Fantasy
tt1943765,Morgan,2012,"Drama,Romance",6.8,Fox,3900000.0,2016,Drama,Romance,
tt1951261,The Hangover Part III,2013,"Adventure,Comedy,Crime",5.8,WB,112200000.0,2013,Adventure,Comedy,Crime
tt1956620,Sex Tape,2014,"Comedy,Romance",5.1,Sony,38500000.0,2014,Comedy,Romance,
tt1964418,Tomorrowland,2015,"Action,Adventure,Family",6.4,BV,93400000.0,2015,Action,Adventure,Family
tt1966359,Father Figures,2017,"Adventure,Comedy,Drama",5.5,WB,17500000.0,2017,Adventure,Comedy,Drama
tt1972591,King Arthur: Legend of the Sword,2017,"Action,Adventure,Drama",6.8,WB,39200000.0,2017,Action,Adventure,Drama
tt1974420,Rules Don't Apply,2016,"Comedy,Drama,Romance",5.7,Fox,3700000.0,2016,Comedy,Drama,Romance
