primary_title,genres,studio,domestic_gross,year
The Karate Kid,"Action,Drama,Family",Sony,176600000.0,2010
Get Out,"Horror,Mystery,Thriller",Uni.,176000000.0,2017
The Boss Baby,"Adventure,Animation,Comedy",Fox,175000000.0,2017
Crazy Rich Asians,"Comedy,Romance",WB,174500000.0,2018
The Greatest Showman,"Biography,Drama,Musical",Fox,174300000.0,2017
Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy",BV,172600000.0,2017
Mary Poppins Returns,"Comedy,Family,Fantasy",BV,172000000.0,2018
Hotel Transylvania 2,"Animation,Comedy,Family",Sony,169700000.0,2015
The Help,Drama,BV,169700000.0,2011
Hidden Figures,"Biography,Drama,History",Fox,169600000.0,2016
Bridesmaids,"Comedy,Romance",Uni.,169100000.0,2011
Kong: Skull Island,"Action,Adventure,Fantasy",WB,168100000.0,2017
Gone Girl,"Drama,Mystery,Thriller",Fox,167800000.0,2014
Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy",Sony,167500000.0,2018
Fifty Shades of Grey,"Drama,Romance,Thriller",Uni.,166200000.0,2015
Jason Bourne,"Action,Thriller",Uni.,162400000.0,2016
Grown Ups,Comedy,Sony,162000000.0,2010
Ice Age: Continental Drift,"Adventure,Animation,Comedy",Fox,161300000.0,2012
Straight Outta Compton,"Biography,Drama,History",Uni.,161200000.0,2015
The Heat,"Action,Comedy,Crime",Fox,159600000.0,2013
Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",WB,159600000.0,2018
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",Fox,155400000.0,2016
Snow White and the Huntsman,"Action,Adventure,Drama",Uni.,155300000.0,2012
Trolls,"Adventure,Animation,Comedy",Fox,153700000.0,2016
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",WB,153600000.0,2015
Cars 3,"Adventure,Animation,Comedy",BV,152900000.0,2017
Neighbors,Comedy,Uni.,150200000.0,2014
American Hustle,"Crime,Drama",Sony,150100000.0,2013
Little Fockers,"Comedy,Romance",Uni.,148400000.0,2010
Hotel Transylvania,"Animation,Comedy,Family",Sony,148300000.0,2012
War for the Planet of the Apes,"Action,Adventure,Drama",Fox,146900000.0,2017
X-Men: First Class,"Action,Adventure,Sci-Fi",Fox,146400000.0,2011
The Meg,"Action,Horror,Sci-Fi",WB,145400000.0,2018
Rio,"Adventure,Animation,Comedy",Fox,143600000.0,2011
Kung Fu Panda 3,"Action,Adventure,Animation",Fox,143500000.0,2016
